ticket_id,title,description,priority,status,created_at,component
JIRA-101,Login error in portal,Login error in portal. Detailed investigation revealed related service behavior causing this issue.,High,In Progress,2025-03-16,UI
JIRA-102,UI misalignment in dashboard,UI misalignment in dashboard. Detailed investigation revealed related service behavior causing this issue.,High,Closed,2025-01-13,Data
JIRA-103,Slow database queries,Slow database queries. Detailed investigation revealed related service behavior causing this issue.,Low,Closed,2025-01-01,Data
JIRA-104,Email notifications not sending,Email notifications not sending. Detailed investigation revealed related service behavior causing this issue.,Medium,Closed,2025-03-20,Backend
JIRA-105,Memory leak in container,Memory leak in container. Detailed investigation revealed related service behavior causing this issue.,Low,In Progress,2025-03-07,UI
JIRA-106,Error parsing CSV import,Error parsing CSV import. Detailed investigation revealed related service behavior causing this issue.,Low,In Progress,2025-02-17,Data
JIRA-107,Cache invalidation bug,Cache invalidation bug. Detailed investigation revealed related service behavior causing this issue.,Medium,Open,2025-01-29,Security
JIRA-108,Incorrect totals in sales report,Incorrect totals in sales report. Detailed investigation revealed related service behavior causing this issue.,Medium,Closed,2025-01-17,Integration
JIRA-109,Dark mode toggle broken,Dark mode toggle broken. Detailed investigation revealed related service behavior causing this issue.,Medium,In Progress,2025-03-07,UI
JIRA-110,API rate limit exceeded,API rate limit exceeded. Detailed investigation revealed related service behavior causing this issue.,Medium,Open,2025-02-25,Infra
JIRA-111,Graph not rendering,Graph not rendering. Detailed investigation revealed related service behavior causing this issue.,Low,Open,2025-03-18,Security
JIRA-112,Load balancer misconfigured,Load balancer misconfigured. Detailed investigation revealed related service behavior causing this issue.,Medium,In Progress,2025-03-17,Analytics
JIRA-113,Timeout error on report API,Timeout error on report API. Detailed investigation revealed related service behavior causing this issue.,Low,In Progress,2025-02-17,Backend
JIRA-114,Search results inaccurate,Search results inaccurate. Detailed investigation revealed related service behavior causing this issue.,Low,In Progress,2025-01-23,UI
JIRA-115,CSV export missing columns,CSV export missing columns. Detailed investigation revealed related service behavior causing this issue.,Medium,Closed,2025-01-25,Backend
JIRA-116,Schema mismatch in ETL,Schema mismatch in ETL. Detailed investigation revealed related service behavior causing this issue.,Medium,Open,2025-01-19,Analytics
JIRA-117,Permissions not applied,Permissions not applied. Detailed investigation revealed related service behavior causing this issue.,Medium,Open,2025-03-24,UI
JIRA-118,Token expiry issue,Token expiry issue. Detailed investigation revealed related service behavior causing this issue.,High,In Progress,2025-01-14,Infra
