WORK_ORDER_ID,EQUIPMENT_TYPE,FACILITY,STATUS,PRIORITY,URGENCY,TOTAL_COST,LABOR_COST,PARTS_COST,CONTRACTOR_COST,LABOR_HOURS,BUSINESS_IMPACT_SCORE,SAFETY_RISK_LEVEL,ESTIMATED_DOWNTIME_HOURS,FAILURE_MODE,COMPLIANCE_REQUIRED,SPECIALIZED_SKILLS_REQUIRED,CREATED_DATE,SCHEDULED_DATE,WORK_ORDER_NOTES
WO-2024-001,Centrifugal Pump,Houston Manufacturing,Open,High,Critical,45750.50,15250.00,18500.00,12000.50,124.5,8,High,24.0,Bearing Failure,TRUE,TRUE,2024-01-15,2024-02-01,"Primary cooling system pump showing severe bearing wear and vibration. Critical for production line A. Requires specialized bearing replacement and alignment. Potential cascade failure risk to secondary systems."
WO-2024-002,Heat Exchanger,Dallas Production,In Progress,Medium,Standard,28300.75,9500.25,12800.50,6000.00,78.0,6,Medium,12.0,Tube Leak,FALSE,FALSE,2024-01-18,2024-02-15,"Shell and tube heat exchanger with minor tube leaks detected during routine inspection. Efficiency reduced by 15%. Scheduled maintenance window available. Standard repair procedures apply."
WO-2024-003,Gas Turbine,Austin Energy,Open,Critical,Emergency,125000.00,35000.00,65000.00,25000.00,280.0,10,Critical,48.0,Blade Damage,TRUE,TRUE,2024-01-20,2024-01-25,"Turbine blade damage discovered during emergency shutdown. Critical power generation unit. Requires immediate attention. Hot gas path inspection reveals multiple blade issues. Emergency contractor required."
WO-2024-004,Electric Motor,Phoenix Assembly,Pending Approval,Low,Standard,8750.25,3250.00,4500.25,1000.00,32.5,3,Low,4.0,Winding Insulation,FALSE,FALSE,2024-01-22,2024-03-01,"Motor winding insulation degradation detected during preventive maintenance. Non-critical production line. Can operate at reduced capacity. Standard motor shop repair."
WO-2024-005,Compressor,Denver Facility,Open,High,High,67500.00,22500.00,35000.00,10000.00,185.0,9,High,36.0,Valve Failure,TRUE,TRUE,2024-01-25,2024-02-10,"Reciprocating compressor discharge valve failure causing pressure fluctuations. Critical for pneumatic systems. Specialized valve replacement required. Safety systems impacted."
WO-2024-006,Conveyor System,Seattle Operations,In Progress,Medium,Standard,15600.50,6200.00,7400.50,2000.00,52.0,5,Medium,8.0,Belt Wear,FALSE,FALSE,2024-01-28,2024-02-20,"Conveyor belt showing excessive wear and tracking issues. Production efficiency reduced. Standard belt replacement and alignment. Minimal downtime expected."
WO-2024-007,Hydraulic Pump,Portland Plant,Open,High,Critical,38900.75,12500.00,19400.75,7000.00,98.5,7,High,18.0,Seal Failure,TRUE,FALSE,2024-02-01,2024-02-18,"Hydraulic pump seal failure causing fluid leaks and pressure loss. Critical for press operations. Environmental compliance risk due to fluid leaks. Immediate containment required."
WO-2024-008,Cooling Tower,Las Vegas Site,Pending Approval,Medium,Standard,22400.00,8400.00,11000.00,3000.00,68.0,6,Medium,12.0,Fan Blade Crack,FALSE,FALSE,2024-02-03,2024-03-05,"Cooling tower fan blade crack detected during inspection. Reduced cooling capacity affecting process efficiency. Standard fiberglass blade replacement. Weather window required."
WO-2024-009,Generator,Miami Power,Open,Critical,Emergency,98500.50,28000.00,55500.50,15000.00,225.0,10,Critical,72.0,Stator Winding,TRUE,TRUE,2024-02-05,2024-02-12,"Generator stator winding failure causing power fluctuations. Emergency backup systems activated. Critical infrastructure component. Specialized electrical contractor required immediately."
WO-2024-010,Boiler,Chicago Manufacturing,In Progress,High,High,75200.25,25000.00,38200.25,12000.00,205.5,8,High,30.0,Tube Corrosion,TRUE,TRUE,2024-02-08,2024-02-25,"Boiler tube corrosion causing efficiency loss and safety concerns. High pressure system requiring certified welders. Regulatory inspection required post-repair. Production impact significant."
